message_id,action,message_type,reason,confidence,evidence_message_ids
msg_014,mute,promotion,Mute: System assessed as promotion.,0.5101285017460121,none
msg_094,digest,business_update,"Digest: Low priority business_update update, saved for later.",0.2907214285714286,none
msg_029,digest,promotion,"Digest: Low priority promotion update, saved for later.",0.6531695565165839,message_0095
msg_105,digest,urgent,"Digest: Low priority urgent update, saved for later.",0.5510344018238165,message_0233
msg_002,notify,personal,Notify: System assessed as personal.,0.521466641152387,message_0003
msg_010,digest,business_update,"Digest: Low priority business_update update, saved for later.",0.8095624456879678,message_0011
msg_078,digest,personal,"Digest: Low priority personal update, saved for later.",0.5884906443146111,message_0220
msg_013,digest,personal,"Digest: Low priority personal update, saved for later.",0.43731852778821756,none
msg_018,digest,urgent,"Digest: Low priority urgent update, saved for later.",0.5991116579656732,message_0026
msg_044,mute,scam,Mute: System assessed as scam.,0.6264882744119126,message_0143
msg_032,digest,personal,"Digest: Low priority personal update, saved for later.",0.5958760495590838,message_0119
msg_106,digest,personal,"Digest: Low priority personal update, saved for later.",0.5879561668164577,message_0234
msg_006,notify,event,Notify: System assessed as event.,0.5236794594876064,message_0067
msg_109,notify,urgent,Notify: High-priority or urgent keyword match.,0.5541620464971931,message_0151
msg_108,mute,personal,Mute: System assessed as personal.,0.5695746868812875,message_0094
msg_019,mute,promotion,Mute: System assessed as promotion.,0.46785191670183596,message_0094
msg_088,digest,personal,"Digest: Low priority personal update, saved for later.",0.30679607216383376,none
msg_056,digest,personal,"Digest: Low priority personal update, saved for later.",0.5705473842506702,message_0226
msg_027,digest,promotion,"Digest: Low priority promotion update, saved for later.",0.6285300970141546,message_0272
msg_050,notify,event,Notify: System assessed as event.,0.8301210236396964,message_0279
msg_083,digest,personal,"Digest: Low priority personal update, saved for later.",0.3189743231782368,none
msg_063,digest,urgent,"Digest: Low priority urgent update, saved for later.",0.5312790996773585,message_0254
msg_033,digest,personal,"Digest: Low priority personal update, saved for later.",0.6288823832389914,message_0121
msg_061,notify,personal,Notify: System assessed as personal.,0.4850528784655467,message_0080
msg_020,notify,personal,Notify: System assessed as personal.,0.513572775684108,message_0114
msg_017,notify,personal,Notify: System assessed as personal.,0.4358769756664268,message_0319
msg_058,mute,urgent,Mute: System assessed as urgent.,0.4638866530943283,message_0241
msg_026,digest,promotion,"Digest: Low priority promotion update, saved for later.",0.668050097847358,message_0032
msg_047,digest,personal,"Digest: Low priority personal update, saved for later.",0.47553345529714286,message_0001
msg_046,mute,event,Mute: System assessed as event.,0.5398201437667081,message_0148
msg_042,digest,urgent,"Digest: Low priority urgent update, saved for later.",0.565959875527266,message_0140
msg_079,mute,personal,Mute: System assessed as personal.,0.5658444680992172,message_0369
msg_098,digest,personal,"Digest: Low priority personal update, saved for later.",0.6029661485593614,message_0226
msg_037,digest,personal,"Digest: Low priority personal update, saved for later.",0.4520345617579231,message_0001
msg_007,digest,event,"Digest: Low priority event update, saved for later.",0.5621809221868646,message_0275
msg_085,digest,personal,"Digest: Low priority personal update, saved for later.",0.2958825799391927,none
msg_001,notify,urgent,Notify: High-priority or urgent keyword match.,0.5430256563421798,message_0240
msg_021,notify,personal,Notify: System assessed as personal.,0.5162581965345071,message_0029
msg_028,digest,promotion,"Digest: Low priority promotion update, saved for later.",0.5718493532154658,message_0034
msg_012,mute,personal,Mute: System assessed as personal.,0.5014146299236519,message_0194
msg_064,digest,personal,"Digest: Low priority personal update, saved for later.",0.4814804096896502,message_0147
msg_103,digest,personal,"Digest: Low priority personal update, saved for later.",0.5594038073216866,message_0065
msg_031,digest,event,"Digest: Low priority event update, saved for later.",0.5209765248001307,message_0143
msg_057,notify,personal,Notify: System assessed as personal.,0.6271345767452293,message_0266
msg_087,digest,personal,"Digest: Low priority personal update, saved for later.",0.3521106379171173,none
msg_067,digest,personal,"Digest: Low priority personal update, saved for later.",0.5161433694915373,message_0068
msg_039,notify,personal,Notify: System assessed as personal.,0.5512527335739883,message_0364
msg_082,digest,personal,"Digest: Low priority personal update, saved for later.",0.3240569443199421,none
msg_066,mute,promotion,Mute: System assessed as promotion.,0.5841159878282441,none
msg_049,digest,business_update,"Digest: Low priority business_update update, saved for later.",0.6613616466260936,message_0154
msg_015,mute,scam,Mute: System assessed as scam.,0.555914033284346,message_0045
msg_051,mute,promotion,Mute: System assessed as promotion.,0.7879246575342466,message_0257
msg_097,digest,personal,"Digest: Low priority personal update, saved for later.",0.7907586318604289,message_0054
msg_089,mute,personal,Mute: System assessed as personal.,0.456506458008126,message_0299
msg_053,digest,personal,"Digest: Low priority personal update, saved for later.",0.5553886700001422,message_0161
msg_059,digest,personal,"Digest: Low priority personal update, saved for later.",0.4907912126179077,message_0221
msg_024,mute,promotion,Mute: System assessed as promotion.,0.7888013698630136,message_0257
msg_072,mute,personal,Mute: System assessed as personal.,0.5562123345817374,message_0369
msg_036,notify,personal,Notify: System assessed as personal.,0.665071213803226,message_0283
msg_076,notify,promotion,Notify: System assessed as promotion.,0.5274088717055647,message_0208
msg_055,digest,urgent,"Digest: Low priority urgent update, saved for later.",0.5909344753700396,message_0166
msg_102,digest,personal,"Digest: Low priority personal update, saved for later.",0.5878887780855779,message_0371
msg_080,digest,personal,"Digest: Low priority personal update, saved for later.",0.48193945015048956,message_0130
msg_093,notify,payment_reminder,Notify: System assessed as payment_reminder.,0.7075,none
msg_034,digest,personal,"Digest: Low priority personal update, saved for later.",0.6219029279511035,message_0013
msg_035,digest,personal,"Digest: Low priority personal update, saved for later.",0.6218774354072467,message_0281
msg_101,digest,personal,"Digest: Low priority personal update, saved for later.",0.5901225914297858,message_0268
msg_041,mute,personal,Mute: System assessed as personal.,0.41995933307294875,none
msg_011,mute,greeting,Mute: System assessed as greeting.,0.5970234737236466,message_0014
msg_110,mute,scam,Mute: System assessed as scam.,0.6557245964296643,message_0238
msg_095,digest,urgent,"Digest: Low priority urgent update, saved for later.",0.4920907542428993,message_0087
msg_074,digest,personal,"Digest: Low priority personal update, saved for later.",0.5372250393324556,message_0204
msg_073,mute,personal,Mute: System assessed as personal.,0.5500019702604287,message_0147
msg_054,mute,personal,Mute: System assessed as personal.,0.505100308626552,message_0389
msg_068,digest,personal,"Digest: Low priority personal update, saved for later.",0.4908910905726035,message_0191
msg_100,notify,urgent,Notify: High-priority or urgent keyword match.,0.661290641878729,message_0362
msg_062,digest,personal,"Digest: Low priority personal update, saved for later.",0.6255659728971557,message_0043
msg_096,digest,personal,"Digest: Low priority personal update, saved for later.",0.3279098719154552,none
msg_043,notify,urgent,Notify: High-priority or urgent keyword match.,0.5107604772053898,message_0151
msg_077,notify,event,Notify: System assessed as event.,0.5681679952699845,message_0364
msg_081,digest,personal,"Digest: Low priority personal update, saved for later.",0.31825168966024586,none
msg_025,notify,business_update,Notify: System assessed as business_update.,0.6118401959177426,message_0239
msg_084,digest,personal,"Digest: Low priority personal update, saved for later.",0.3088576135986705,none
msg_022,notify,personal,Notify: System assessed as personal.,0.5060339990803718,message_0151
